"CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","A101_01","A101_02","A101_03","A101_04","A101_05","A101_06","A101_07","A101_08","A101_09","A101_10","A102","A201_01","A201_02","A201_03","A201_04","A201_05","A201_06","A301","A302","A303","A304","A305","A306","A404","A405_01","A403","TIME001","TIME002","TIME003","TIME004","TIME005","TIME_SUM","MAILSENT","LASTDATA","STATUS","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI"
24,,,"ITID-FOMO","interview",2025-07-09 16:14:01,2,2,1,1,4,1,1,4,7,3,2,5,1,3,3,3,4,2,2,2,2,,,1,55,2,150,105,8,58,23,344,,2025-07-09 16:19:45,,1,0,5,5,0,0,074
35,,,"ITID-FOMO","interview",2025-07-09 16:16:25,5,6,2,1,5,1,3,1,6,2,2,1,1,2,5,1,1,1,4,4,4,,,1,21,1,87,37,12,44,12,192,,2025-07-09 16:19:37,,1,0,5,5,0,0,112
52,,,"ITID-FOMO","interview",2025-07-09 16:22:58,3,3,1,2,5,2,6,5,7,2,2,2,1,3,1,1,2,1,3,2,2,2,1,2,22,6,118,40,8,45,19,230,,2025-07-09 16:26:48,,1,0,5,5,0,0,102
54,,,"ITID-FOMO","interview",2025-07-09 16:23:42,2,2,1,1,5,1,1,4,7,3,2,5,1,2,2,1,1,1,2,2,2,3,2,1,55,2,63,44,4,49,8,168,,2025-07-09 16:26:30,,1,0,5,5,0,0,152
59,,,"ITID-FOMO","interview",2025-07-09 16:30:35,2,2,1,1,6,1,3,1,7,2,2,1,7,4,4,7,4,3,2,2,2,1,2,2,25,3,171,129,13,70,12,395,,2025-07-09 16:37:10,,1,0,5,5,0,0,07
60,,,"ITID-FOMO","interview",2025-07-09 16:39:35,6,6,3,1,7,1,5,1,1,1,2,7,2,1,1,7,6,1,2,2,2,2,2,2,23,1,134,82,11,48,12,287,,2025-07-09 16:44:23,,1,0,5,5,0,0,087
62,,,"ITID-FOMO","interview",2025-07-09 17:02:37,4,4,2,1,1,2,1,3,7,6,2,1,1,1,5,4,5,1,2,,2,2,2,1,59,2,97,69,6,43,11,226,,2025-07-09 17:06:23,,1,0,5,5,4,4,112
63,,,"ITID-FOMO","interview",2025-07-09 17:05:57,5,5,5,2,5,4,5,3,6,3,2,5,4,3,4,5,2,1,2,2,2,2,1,1,22,3,101,56,12,48,13,230,,2025-07-09 17:09:47,,1,0,5,5,0,0,095
65,,,"ITID-FOMO","interview",2025-07-09 17:19:55,5,3,3,2,6,3,6,2,7,3,2,5,5,2,4,5,5,1,4,3,2,3,2,1,24,1,79,34,9,47,8,177,,2025-07-09 17:22:52,,1,0,5,5,0,0,131
68,,,"ITID-FOMO","interview",2025-07-09 17:26:25,7,7,6,2,7,7,5,5,5,2,2,6,7,5,2,7,5,4,3,4,4,4,1,2,33,3,59,58,6,35,13,171,,2025-07-09 17:29:16,,1,0,5,5,0,0,13
69,,,"ITID-FOMO","interview",2025-07-09 17:33:37,3,2,5,3,5,6,5,6,6,5,2,6,2,2,5,4,5,4,3,1,1,3,1,1,26,1,46,45,4,34,8,137,,2025-07-09 17:35:54,,1,0,5,5,0,0,172
74,,,"ITID-FOMO","interview",2025-07-09 17:59:13,5,5,4,3,5,3,3,3,3,2,2,3,4,4,2,3,3,2,2,3,2,2,2,1,24,1,75,44,8,45,11,183,,2025-07-09 18:02:16,,1,0,5,5,0,0,119
75,,,"ITID-FOMO","interview",2025-07-09 18:00:51,5,5,5,2,4,2,2,1,1,1,2,5,5,1,1,5,3,2,4,2,3,2,2,1,22,1,62,31,7,35,9,144,,2025-07-09 18:03:15,,1,0,5,5,0,0,15
76,,,"ITID-FOMO","interview",2025-07-09 18:03:37,3,3,3,3,3,3,5,5,5,5,2,5,3,5,5,3,3,1,4,2,2,2,2,1,54,2,181,99,10,99,27,416,,2025-07-09 18:10:33,,1,0,5,5,0,0,059
77,,,"ITID-FOMO","interview",2025-07-09 18:32:51,3,3,3,5,1,5,7,7,3,3,2,5,3,3,5,5,5,4,2,2,2,1,3,1,50,2,128,64,10,54,26,282,,2025-07-09 18:37:33,,1,0,5,5,0,0,079
